Iteration  96: 2.203 ms/op
Iteration  97: 4.268 ms/op
Iteration  98: 2.450 ms/op
Iteration  99: 8.915 ms/op
Iteration 100: 1.630 ms/op
Iteration 101: 3.568 ms/op
Iteration 102: 6.972 ms/op
Iteration 103: 3.557 ms/op
Iteration 104: 2.765 ms/op
Iteration 105: 4.831 ms/op
Iteration 106: 1.552 ms/op
Iteration 107: 1.562 ms/op
Iteration 108: 1.690 ms/op
Iteration 109: 1.490 ms/op
Iteration 110: 5.597 ms/op
Iteration 111: 7.545 ms/op
Iteration 112: 7.846 ms/op
Iteration 113: 2.531 ms/op
Iteration 114: 8.650 ms/op
Iteration 115: 2.443 ms/op
Iteration 116: 7.837 ms/op
Iteration 117: 2.566 ms/op
Iteration 118: 9.182 ms/op
Iteration 119: 1.785 ms/op
Iteration 120: 2.507 ms/op
Iteration 121: 13.656 ms/op
Iteration 122: 1.815 ms/op
Iteration 123: 10.613 ms/op
Iteration 124: 1.673 ms/op
Iteration 125: 1.902 ms/op
Iteration 126: 6.848 ms/op
Iteration 127: 3.121 ms/op
Iteration 128: 2.877 ms/op
Iteration 129: 5.768 ms/op
Iteration 130: 6.021 ms/op
Iteration 131: 2.305 ms/op
Iteration 132: 10.037 ms/op
Iteration 133: 1.644 ms/op
Iteration 134: 1.506 ms/op
Iteration 135: 3.647 ms/op
Iteration 136: 7.440 ms/op
Iteration 137: 6.348 ms/op
Iteration 138: 8.358 ms/op
Iteration 139: 6.687 ms/op
Iteration 140: 3.770 ms/op
Iteration 141: 7.034 ms/op
Iteration 142: 10.368 ms/op
Iteration 143: 3.489 ms/op
Iteration 144: 8.847 ms/op
Iteration 145: 3.811 ms/op
Iteration 146: 1.604 ms/op
Iteration 147: 9.384 ms/op
Iteration 148: 1.521 ms/op
Iteration 149: 1.756 ms/op
Iteration 150: 6.663 ms/op
Iteration 151: 3.681 ms/op
Iteration 152: 1.497 ms/op
Iteration 153: 9.847 ms/op
Iteration 154: 3.581 ms/op
Iteration 155: 1.796 ms/op
Iteration 156: 9.775 ms/op
Iteration 157: 1.587 ms/op
Iteration 158: 4.743 ms/op
Iteration 159: 4.370 ms/op
Iteration 160: 2.165 ms/op
Iteration 161: 8.546 ms/op
Iteration 162: 2.061 ms/op
Iteration 163: 5.496 ms/op
Iteration 164: 2.700 ms/op
Iteration 165: 3.726 ms/op
Iteration 166: 3.085 ms/op
Iteration 167: 9.855 ms/op
Iteration 168: 5.711 ms/op
Iteration 169: 9.989 ms/op
Iteration 170: 2.399 ms/op
Iteration 171: 8.554 ms/op
Iteration 172: 7.038 ms/op
Iteration 173: 6.270 ms/op
Iteration 174: 6.231 ms/op
Iteration 175: 10.436 ms/op
Iteration 176: 9.589 ms/op
Iteration 177: 2.682 ms/op
Iteration 178: 5.228 ms/op
Iteration 179: 9.905 ms/op
Iteration 180: 6.658 ms/op
Iteration 181: 6.422 ms/op
Iteration 182: 10.288 ms/op
Iteration 183: 5.232 ms/op
Iteration 184: 10.430 ms/op
Iteration 185: 2.272 ms/op
Iteration 186: 8.479 ms/op
Iteration 187: 7.818 ms/op
Iteration 188: 5.729 ms/op
Iteration 189: 7.517 ms/op
Iteration 190: 3.943 ms/op
Iteration 191: 9.552 ms/op
Iteration 192: 7.163 ms/op
Iteration 193: 7.381 ms/op
Iteration 194: 4.464 ms/op
Iteration 195: 10.042 ms/op
Iteration 196: 9.627 ms/op
Iteration 197: 3.855 ms/op
Iteration 198: 10.727 ms/op
Iteration 199: 10.614 ms/op
Iteration 200: 3.164 ms/op

# Run progress: 0.00% complete, ETA 49 days, 12:45:53
# Fork: 2 of 20
# Warmup Iteration   1: 9.153 ms/op
# Warmup Iteration   2: 9.448 ms/op
# Warmup Iteration   3: 5.129 ms/op
# Warmup Iteration   4: 6.584 ms/op
# Warmup Iteration   5: 6.549 ms/op
# Warmup Iteration   6: 17.915 ms/op
# Warmup Iteration   7: 12.239 ms/op
# Warmup Iteration   8: 11.796 ms/op
# Warmup Iteration   9: 10.514 ms/op
# Warmup Iteration  10: 12.643 ms/op
# Warmup Iteration  11: 8.341 ms/op
# Warmup Iteration  12: 12.318 ms/op
# Warmup Iteration  13: 10.929 ms/op
# Warmup Iteration  14: 4.733 ms/op
# Warmup Iteration  15: 12.294 ms/op
# Warmup Iteration  16: 9.969 ms/op
# Warmup Iteration  17: 6.888 ms/op
# Warmup Iteration  18: 7.643 ms/op
# Warmup Iteration  19: 23.598 ms/op
# Warmup Iteration  20: 8.051 ms/op
# Warmup Iteration  21: 5.507 ms/op
# Warmup Iteration  22: 12.247 ms/op
# Warmup Iteration  23: 11.597 ms/op
# Warmup Iteration  24: 8.229 ms/op
# Warmup Iteration  25: 12.839 ms/op
# Warmup Iteration  26: 12.847 ms/op
# Warmup Iteration  27: 10.648 ms/op
# Warmup Iteration  28: 14.541 ms/op
# Warmup Iteration  29: 10.671 ms/op
# Warmup Iteration  30: 11.276 ms/op
# Warmup Iteration  31: 11.265 ms/op
# Warmup Iteration  32: 10.957 ms/op
# Warmup Iteration  33: 7.915 ms/op
# Warmup Iteration  34: 7.710 ms/op
# Warmup Iteration  35: 9.539 ms/op
# Warmup Iteration  36: 12.275 ms/op
# Warmup Iteration  37: 3.995 ms/op
# Warmup Iteration  38: 11.600 ms/op
# Warmup Iteration  39: 4.854 ms/op
# Warmup Iteration  40: 5.936 ms/op
# Warmup Iteration  41: 8.741 ms/op
# Warmup Iteration  42: 11.669 ms/op
# Warmup Iteration  43: 7.903 ms/op
# Warmup Iteration  44: 14.628 ms/op
# Warmup Iteration  45: 3.054 ms/op
# Warmup Iteration  46: 12.224 ms/op
# Warmup Iteration  47: 10.321 ms/op
# Warmup Iteration  48: 4.807 ms/op
# Warmup Iteration  49: 10.145 ms/op
# Warmup Iteration  50: 3.611 ms/op
Iteration   1: 6.153 ms/op
Iteration   2: 10.430 ms/op
Iteration   3: 6.376 ms/op
Iteration   4: 7.536 ms/op
Iteration   5: 8.013 ms/op
Iteration   6: 3.980 ms/op
Iteration   7: 10.502 ms/op
Iteration   8: 5.617 ms/op
Iteration   9: 11.088 ms/op
